中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
分散，散布,scatter,"柔净妙香馥无数百千天妙宝华散布其地。Well sprinkled and well swept, the ground was fragrant and covered with a scattering of many hundreds of thousands of divine flowers.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
四宝树,a jewel tree,于其四隅不近不远。有四宝树而极耸拔。Not too far yet not too close to each of the throne’s four corners stood a jewel tree.,经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
极净慧,perfectly pure wisdom,"以极净慧转妙法轮。With perfectly pure wisdom, he was turning the wheel of Dharma.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
转法轮,turn the wheel of Dharma,"以极净慧转妙法轮。With perfectly pure wisdom, he was turning the wheel of Dharma.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
清白的，无污迹的,unblemished,"摧伏魔军不染世法。Conquering all māras and opponents, he remained unblemished by any mundane qualities.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
无畏的,fearless,"作师子吼明焕无畏。He was fearless and indomitable, like a dauntless lion.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
清净无杂,immaculate and lucid,"犹如大池清净无杂。He was clear like a lake, immaculate and lucid.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
彻底了解；测量…的深度,fathom,"又如大海广积妙宝深无涯底。Resembling the ocean, he was deep and hard to fathom, a source of jewels.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
照亮,illuminate,"其光即于十方一切世界普照耀已。As this light shone forth, all the worlds in the ten directions were illuminated.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
虚空界,the expanse of space,"譬如日月光明悉从虚空界入。而虚空界亦无动静。Similarly, the light of the sun or the moon may enter the expanse of space, and yet the expanse of space cannot be seen to be either open or closed.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
大莲华,Realm of Lotuses,"尔时东方去此佛刹过殑伽沙数等世界。有世界名大莲华。Now, to the east of this buddha realm, beyond as many worlds as there are grains of sand in the river Gaṅgā, there is a world known as Realm of Lotuses.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
宣说,teach,为诸菩萨宣说法要。彼所说法唯以一乘发起利益。That blessed buddha teaches the Dharma to bodhisattva great beings in terms of a single vehicle.,经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
一乘,a single vehicle,为诸菩萨宣说法要。彼所说法唯以一乘发起利益。That blessed buddha teaches the Dharma to bodhisattva great beings in terms of a single vehicle.,经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
声闻,listener,"彼佛刹中无有声闻缘觉名字。况复声闻缘觉乘法。Thus, in that buddha realm even the words “listener” or “solitary buddha” are unheard of, as are the names of their respective vehicles.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
缘觉,solitary buddha,"彼佛刹中无有声闻缘觉名字。况复声闻缘觉乘法。Thus, in that buddha realm even the words “listener” or “solitary buddha” are unheard of, as are the names of their respective vehicles.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
食物,sustenance,"彼诸菩萨。悉以等持静虑法喜为食。All the bodhisattvas of that realm partake of the delightful sustenance of concentration, the delightful sustenance of absorption, and the delightful sustenance of the Dharma.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
遍及，弥漫,pervade,"又彼世界。不以日月星宿而为照明。皆彼如来身光普照而悉清净。The light that shines from that thus-gone one pervades that realm and illuminates it. Apart from that, that world knows of no moonlight or sunlight, nor of any light from planets or stars.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
合掌,join the palms,"合掌顶礼白其佛言。Joining his palms, he bowed toward the blessed thus- gone Padmanetra.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
娑婆,Endurance,"善男子。西方去此佛刹过殑伽沙数等世界。有世界名娑婆。“Noble son, in the west, beyond as many worlds as there are grains of sand in the river Gaṅgā, there is a world known as Endurance.",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
不退转的,irreversible,若诸有情闻彼如来名字之者。悉得不退转于阿耨多罗三藐三菩提。Whoever merely hears this blessed buddha’s name will become irreversible from unexcelled and complete awakening.,经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
阿耨多罗三藐三菩提,unexcelled and complete awakening,若诸有情闻彼如来名字之者。悉得不退转于阿耨多罗三藐三菩提。Whoever merely hears this blessed buddha’s name will become irreversible from unexcelled and complete awakening.,经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
得不退转,attained the state of irreversibility,"除盖障菩萨言。云何世尊。彼世界中一切有情悉得不退转邪。The bodhisattva Sarvanīvaraṇaviṣkambhin then inquired, “Blessed One, have all sentient beings of that realm attained the state of irreversibility?”",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
一切有情,all sentient beings,"除盖障菩萨言。云何世尊。彼世界中一切有情悉得不退转邪。The bodhisattva Sarvanīvaraṇaviṣkambhin then inquired, “Blessed One, have all sentient beings of that realm attained the state of irreversibility?”",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
完美的，无暇的，离诸过失,flawless,"而其种子离诸过失。后以诸缘得生牙茎。乃至滋长果实结。善男子。彼树何故但说种子。If those seeds are flawless, and if all the conditions for growth, from sprouting through to completion, are present, then what would you call such seeds?”",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
世界,realm,"Because among the beings of that realm desire, anger, and dullness are rife. 彼世界中诸有情类极贪瞋痴。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
贪瞋痴,"desire, anger, and dullness","Because among the beings of that realm desire, anger, and dullness are rife. 彼世界中诸有情类极贪瞋痴。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
普遍的；流行的,rife,"Because among the beings of that realm desire, anger, and dullness are rife. 彼世界中诸有情类极贪瞋痴。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
口出恶言,malicious,"They are spiteful, savage, and malicious. 非法欲行。暴恶粗犷。口出恶言。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
生起...,give rise to,"Moreover,noble children, when sentient beings within such a world of rampant afflictions give rise to just a single virtuous mind state then they also display a tremendous feat. Why? 又善男子。彼诸有情亦复如是。难行能行于彼杂染世界之中。能起一善心者斯为极难。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
善心,a single virtuous mind state,"Moreover,noble children, when sentient beings within such a world of rampant afflictions give rise to just a single virtuous mind state then they also display a tremendous feat. Why? 又善男子。彼诸有情亦复如是。难行能行于彼杂染世界之中。能起一善心者斯为极难。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
猖獗的，蔓延的,rampant,"On the other hand, it is indeed a wonder when anyone in a world of rampant afflictions is able, ever so briefly, to engender faith, or go for refuge in the Buddha, Dharma, and Saṅgha, or purely observe discipline. 杂染世界之中能起善行者极为希有。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
于一弹指顷,for just a moment,"However, it is an even greater wonder if, even for just a moment, they can attain a mind free from desire. 能于一弹指顷发净信心。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
发净信心,attain a mind free from desire,"However, it is an even greater wonder if, even for just a moment, they can attain a mind free from desire. 能于一弹指顷发净信心。",经论,佛说除盖障菩萨所问经,,84000佛典传译,,,,
八地菩萨,The great earth Bodhisattva,"The great earth Bodhisattva, by the power of his vow, transforms himself into a Naga-raja and dwells therein; 八地菩萨以愿力故，化为龙王，于中潜宅。",课外阅读,大唐西域记,,菩提字幕屋,,,,
通过愿力,by the power of his vow,"The great earth Bodhisattva, by the power of his vow, transforms himself into a Naga-raja and dwells therein; 八地菩萨以愿力故，化为龙王，于中潜宅。",课外阅读,大唐西域记,,菩提字幕屋,,,,
改变，转换,transform,"The great earth Bodhisattva, by the power of his vow, transforms himself into a Naga-raja and dwells therein; 八地菩萨以愿力故，化为龙王，于中潜宅。",课外阅读,大唐西域记,,菩提字幕屋,,,,
天资犷暴,naturally wild and fierce,"The people of the country of ""the lord of horses"" are naturally (t'ien tsz') wild and fierce. 马主之俗，天资犷暴",课外阅读,大唐西域记,,菩提字幕屋,,,,
尊卑无次,no distinction of high or low,"They have no marriage decorum, and no distinction of high or low. 嫁娶无礼，尊卑无次",课外阅读,大唐西域记,,菩提字幕屋,,,,
笔直的,erect,"Outside the western gate of the chief city, on the right and left side of the road, there are (two) erect figures of Buddha, about 90 feet high. 大城西门外，路左右各有立佛像，高九十余尺。",课外阅读,大唐西域记,,菩提字幕屋,,,,
奉持斋戒,observe a religious fast,"The king and all his people, from the highest to the lowest, on this occasion abstain from public business, and observe a religious fast; 上自君王，下至士、庶，捐废俗务，奉持斋戒",课外阅读,大唐西域记,,菩提字幕屋,,,,
小乘法教,the religious teaching of the Little Vehicle,"There are about 100 convents and 3000 monks, who all study the religious teaching of the Little Vehicle. 伽蓝百有余所，僧徒三千余人，并皆习学小乘法教。",课外阅读,大唐西域记,,菩提字幕屋,,,,
初证佛果,first attained enlightenment,"In old days, when Buddha first attained enlightenment after advancing to the tree of knowledge, he went to the garden of deer; 昔者如来初证佛果，起菩提树，方诣鹿园。",课外阅读,大唐西域记,,菩提字幕屋,,,,
大乘法教,the rules of the Great Vehicle,They mostly study the rules of the Great Vehicle. 并多习学大乘法教。,课外阅读,大唐西域记,,菩提字幕屋,,,,
说教，说法,preach,"The Arhat having finished his meal, began then to preach for the Good of the Naga, 阿罗汉饭食已讫，便为龙王说诸法要。",课外阅读,大唐西域记,,菩提字幕屋,,,,
灵光一现,glimpses,"Shantideva knows that we can trust these glimpses of bodhichitta and that by recognizing and nurturing them, these glimpses will grow.寂天菩萨知道我们可以信任著提心的灵光一现，如果认出它并滋养它，菩提心便会增长。",课外阅读,《生命不再等待 No Time To Lose》,,P6,第一品 发菩提心,,,
多劫,pondering for many ages,"The awakened ones, pondering for many ages, have seen that only this good heart of bodhi can keep us from getting hooked in the same old, self-centered ways.觉者经过多劫思惟，发觉唯有菩提心的良善，才能使我们不耽溺在固有的自我中心之中。",课外阅读,《生命不再等待 No Time To Lose》,,P6,第一品 发菩提心,,,
殊胜的美善,the great beatitude,"Those who wish to win such great beatitude,Should never turn their back on bodhichitta.若想赢得这种殊胜的美善,就应永不舍弃菩提心。",课外阅读,《生命不再等待 No Time To Lose》,,P7,第一品 发菩提心,,,
救度,free from,"When he talks of putting to flight the pain and suffering of beings, he points to the mahayana intention to free everyone without exception from pain.当他提到解脱众生的痛苦，则是说大乘佛法的发心，将一切众生都从痛苦中救度出来，无一例外。",课外阅读,《生命不再等待 No Time To Lose》,,P7,第一品 发菩提心,,,
止息痛苦,cessation of suffering,"When Shantideva mentions those who wish to overcome the sorrows of their lives, he addresses the foundation teachings of Buddhism, which emphasize the cessation of personal suffering. 当寂天菩萨提到若想灭除自己生命中的忧苦，系指佛教的基本教义，止息个人的痛苦。",课外阅读,《生命不再等待 No Time To Lose》,,P7,第一品 发菩提心,,,
生死牢狱,in the dungeons of samsara,"Should bodhichitta come to birthIn one who suffers in the dungeons of samsara,In that instant he is called the buddhas heir,Worshipful alike to gods and men.生死牢狱中的苦难众生，若生起菩提心，在那一眸间就是诸佛如来之子，应得人天礼。",课外阅读,《生命不再等待 No Time To Lose》,,P8,第一品 发菩提心,,,
蔑视,scornfully at,We don't ever have to feel we're too hopeless to call on bodhichitta; nor can we look scornfully at others and label them too frivolous or arrogant to qualify.我们不必觉得自己没机会唤醒菩提心，也不应愤然认为他人太轻佻或太骄做而没资格入选。,课外阅读,《生命不再等待 No Time To Lose》,,P9,第一品 发菩提心,,,
治金师,alchenists,"For like the supreme substance of the alchemists,It takes the impure form of human flesh,And makes of it the priceless body of a buddha菩提心有如治金师最殊胜的材料，能将凡夫杂染的身体，转成无价的佛身。",课外阅读,《生命不再等待 No Time To Lose》,,P9,第一品 发菩提心,,,
劫末的猛火,the fires at the end of time,"Just as by the fires at the end of time,Great sins are utterly consumed by bodhichitta。菩提心正如劫末的猛火，能彻底烧毁各种重罪。",课外阅读,《生命不再等待 No Time To Lose》,,P9,第一品 发菩提心,,,
如意树,a wish-fulfilling tree,"In verses 11 through 14, the analogies are a priceless jewel, a wish-fulfilliIng tree, a hero, and the fire at the end of time.The sixth analogy is a kind of etcetera, which refers to a Buddhist scripture where many other analogies are described.第十一到十四颂的比喻分别是无价之宝、如意树、勇士、劫末之火，第六个比喻有点像“等等”，指出另一部佛经中有许多其他比喻。",课外阅读,《生命不再等待 No Time To Lose》,,P10,第一品 发菩提心,,,
行菩萨心,active bodhichitta,"Here Shantideva presents the two aspects of relative bodhichitta: aspiration and action. Aspiring, or intentional, bodhichitta is like wishing to take a trip, active bodhichitta is actually setting out on the journey. 在此，寂天菩萨提出了世俗菩提心的两个面向：愿和行。愿菩提心有如想出去旅行，行菩提心则是实际出发上路。",课外阅读,《生命不再等待 No Time To Lose》,,P11,第一品 发菩提心,,,
膨胀,puff up,"Puffed up with pride of the profits and honours they receive, they are themselves quite unware of the true qualities of great teachers.他自相续被名闻利养改变得面目全非，骄傲自满，对正士的功德视而不见。",经论,普贤上师言教,,P140,The word of my perfect teacher,,,
松懈的,lax,Their strong negative emotions togeter with their weak mindfulness and vigilance make them lax in their vows and samayas.内心烦恼粗重，不具足正知正念，致使违犯戒律，破坏誓言。,经论,普贤上师言教,,P140,The word of my perfect teacher,,,
（装）满,brim,"Brimming over with anger and jealousy, they break the lifeline of love and compassion.嗔恨和嫉妒心十分强烈，断掉了慈悲心的吊索。",经论,普贤上师言教,,P140,The word of my perfect teacher,,,
毒蛇,venomous serpent,It is like being killed by a venomous serpent colided beneath a tree that you approached.就像是被盘绕在树下的毒蛇害死。,经论,普贤上师言教,,P141,The word of my perfect teacher,,,
忘恩负义,ingratitude,"Skilled in cutting through hestitation and doubt, he patiently ensures all the ingratitude and discouragement of his disciples, like a mother with her only child.他能善巧解除弟子的重重疑虑，也能忍耐弟子的一切邪行和忘恩负义 ，宛如独子的慈母一般。",经论,普贤上师言教,,P142,The word of my perfect teacher,,,
权宜地,expediently,"Expediently, to guide us, he acts just like us all.不了义随一切众。",经论,普贤上师言教,,P142,The word of my perfect teacher,,,
指示,chart out,"Like a navigator, he unfailingly charts out for us the route to liberation and omniscience. 他如商主，能无误指示解脱与遍知佛果的圣道。",经论,普贤上师言教,,P142,The word of my perfect teacher,,,
甘露雨,downpour of nectar,"Like a downpour of nectar, he distinguishes the blaze of negative actions and emotions. 他如甘露雨，能熄灭业与烦恼熊熊的烈火。",经论,普贤上师言教,,P142,The word of my perfect teacher,,,
实执之风,the wind of the belief of the reality of appearances,"Like the king of mountains, his joy at other's happiness is so steadfast that it cannot be shifted by jealousy, or shaken by the wind of the belief of the reality of appearances.他的喜心宛如山王，不为嫉妒之心所转，不为实执之风所动。",经论,普贤上师言教,,P143,The word of my perfect teacher,,,
舍心,impartiality,"Like rain falling from a cloud, his impartiality is never disturbed by attachment or aversion.他的舍心恰似云雨，自相续不被贪嗔所扰乱。",经论,普贤上师言教,,P143,The word of my perfect teacher,,,
正确地,unerringly,"The true navigator, unerringly charting the sublime path.无迷胜道真商主",经论,普贤上师言教,,P143,The word of my perfect teacher,,,
火海,inferno,The rain of nectar quenching the inferno of emotions and actions.灭业惑火甘露雨,经论,普贤上师言教,,P143,The word of my perfect teacher,,,
功德雨,bounty of the higher realms and liberation,On those who entrust themsleves to him with sincere faith will be showered the bounty of the higher realms and liberation.何人正信依上师，降下一切功德雨,经论,普贤上师言教,,P143,The word of my perfect teacher,,,
《华严经》,Sutra Arranged like a Tree,So begins the series of similes in the Sutra Arranged like a Tree.按照《华严经》中类似的喻义说法,经论,普贤上师言教,,P143,The word of my perfect teacher,,,
护送者,escort,Travellers on dangerous paths entrust themselves to a courageous escort.行在恐怖路途的旅客依止勇敢的护送者,经论,普贤上师言教,,P144,The word of my perfect teacher,,,
智慧极坚,stable-minded,So stable-minded that he is never shaken by immediate circumstances.智慧极坚，心情不会因为暂时出现的违缘而改变。,经论,普贤上师言教,,P144,The word of my perfect teacher,,,
偷懒,spare oneself,He obeys his every command without sparing himself at all.依教奉行，上师所说的任何教授，言听计从，将自己置之度外。,经论,普贤上师言教,,P144,The word of my perfect teacher,,,
寂静调柔,be peaceful and controlled,"You should be peaceful and controlled in all your deeds, words and thoughts.身语意寂静调柔",经论,普贤上师言教,,P144,The word of my perfect teacher,,,
自制,restrain oneself,"You should restrain yourself from doing anything harmful or negative, for fear of displeasing him.如果造恶业就立即想到：我的这种恶行必定会受到正士大德的羞辱。",经论,普贤上师言教,,P144,The word of my perfect teacher,,,
训斥,reprimand,Never getting angry or sesentful even when he reprimands us severely.无论上师如何呵责制裁，既不怒气冲冲也不怀恨在心。,经论,普贤上师言教,,P145,The word of my perfect teacher,,,
来来往往,go back and forth,"Like a boat, we should never tire of going back and forth to take messages or do other services for him.因为上师的指派等而来来往往业不厌其烦，犹如船筏。",经论,普贤上师言教,,P145,The word of my perfect teacher,,,
铁帖,anvil,"Like a smith's anvil, we should endure heat, cold and other difficulites.能够忍耐一切艰难困苦，严寒酷暑，犹如铁匠的贴帖。",经论,普贤上师言教,,P145,The word of my perfect teacher,,,
指责,rebuke,"Never resent his rebukes,like the perfect horse.厉斥不嗔如良驹",经论,普贤上师言教,,P145,The word of my perfect teacher,,,
修行供养,the offering of practice,"The best way is known as the offering of practice, and consits of putting whatever he teaches into practice with determination, disregarding all hardship.其中上等承侍士修行供养，以坚韧不拔的精神经历苦行孜孜不倦地实修上师所传的一切正法。",经论,普贤上师言教,,P145,The word of my perfect teacher,,,
弹响指,snap his fingures,"Tilopa took a fish, grilled it over the fire and put it in his mouth, snapping his fingers.他取出一条鱼放在火上烧烤完毕就吃了起来，接着弹了一声响指。",经论,普贤上师言教,,P146,The word of my perfect teacher,,,
一寻光,an aura six feed wide,"But he saw everything the Buddha did as deceitful, and eventually came to erroneous conclusion that, apart from an aura six feet wide, there was no difference between the Buddha and himself.他将世尊的一切行为看成是欺诳之举，心想：除了没有一寻光的差别外，我们二人完全相同。",经论,普贤上师言教,,P147,The word of my perfect teacher,,,
三门寂静,"composure if body, speech, and mind","Serve him with composure of body, speech, and mind.三门寂静而依师。",经论,普贤上师言教,,P148,The word of my perfect teacher,,,
眷属,entourage,"However much time you have to spend with your teacher's entourage or with you vajra brothers and sisters, never feel weary or irritated with them.与上师的眷属和金刚兄弟姐妹们也同样恭敬，无论相处的时间多长，都毫无厌烦之心。",经论,普贤上师言教,,P149,The word of my perfect teacher,,,
无理取闹,pick quarrel,"When people speack harshly to you or pick quarrels, or when the responsibilities you have to assume are too great, be ready to bear anything, like a pillar.即使对方对自己恶语中伤，无理取闹或施加难以承受的压力，也应当尽力忍耐。",经论,普贤上师言教,,P149,The word of my perfect teacher,,,
对 ... 精通,verse,"When you perfectly versed in how to follow your teacher, you should be like a swan gliding smoothly on immaculate lake, delighting in its waters without making them muddy.依止上师的方法明确后，就要像天鹅一样受持上师的密意。栖身于胜妙水池的天鹅不会搅浑池水，二十在其中轻盈嬉戏，尽情享受。",经论,普贤上师言教,,P149,The word of my perfect teacher,,,
洁白的；无瑕疵的；无过失的,immaculate,"When you are perfectly versed in how to follow your teacher, you should be like a swan gliding smoothly on an immaculate lake, delighting in its waters without making them muddy.依止上师的方法明确后，就要像天鹅一样受持上师的密意。栖身于胜妙水池的天鹅不会搅浑池水，二十在其中轻盈嬉戏，尽情享受。",经论,普贤上师言教,,P149,The word of my perfect teacher,,,
接受,be receptive to,"Doing whatever he says without ever feeling bored or tired, be receptive to your teacher and through your faith and steadfastness make sure that you absorb all his qualities of knowledge, reflection and meditation, like the contents of one perfect vessel being poured into another.我们要不辞辛苦，不厌其烦，不折不扣依教奉行来受持上师的意趣，依靠信心和毅力的进取因，将殊胜上师心相续中一切闻思修行的功德如同从一个标准瓶 倾入另一个标准瓶一样融入自己的相续。",经论,普贤上师言教,,P149,The word of my perfect teacher,,,
无上发心力,unsurpassable intention,will bring you as much merit as springs from his own unsurpassable intention。依靠大德的无上发心力所得的善业资粮有多少，自己也将同样获得。,经论,普贤上师言教,,P149,The word of my perfect teacher,,,
糌粑(藏族的主食),tsampa,The only food that one of them had was a handful of brown tsampa made from beans.一个人除了少量的豆粉外没有其他口粮,经论,普贤上师言教,,P149,The word of my perfect teacher,,,
精白糌粑,copious supply of white barley tsampa,"He gave it to his companion, mixing it with the other's copious supply of white barley tsampa。他把豆粉放入另一个人精白糌粑中混合一起",经论,普贤上师言教,,P150,The word of my perfect teacher,,,
绝无错误的,infallible,"Specifically, to serve the teacher's daily needs, to carry messages for him or even just to sweep his room are an infallible way to accumulate merit, so try to do such things as much as you can.特别是对上师暂时的指派，信使，乃至清扫上师的居室在内，都是积累资粮的正道，应当尽力而为。",经论,普贤上师言教,,P150,The word of my perfect teacher,,,
观修一切生起次第的本尊,In the deity practices of the generation phase,"In the deity practices of the generation phase, there are many different forms of particular deities on which to meditate, but the nature of all of them is nothing other than your own root teacher.观修一切生起次第的本尊也是同样，如果能认识到形象虽然显现为某某本尊，其实本体除了自己的根本上师外别无其他。",经论,普贤上师言教,,P150,The word of my perfect teacher,,,
圆满次第,the perfection phase,"All the ways in which wisdom develops in the perfection phase depend only on the power of your devotion to your teacher and of his blessings, and consist of giving birth to the wisdom of
the teacher's realization within yourself。 在相续中生起圆满次第的智慧， 也完全依赖对上师的诚信恭敬与上师的加持力，自相续中一定会生起上师心相续中所证悟的智慧。",经论,普贤上师言教,,P150,The word of my perfect teacher,,,
以三种承侍使自己的心与上师的智慧无二无别,unite our minds with his through the three kinds of service.,"while we have him here in person, we must try our best to do whatever he says and to unite our minds with his through the three kinds of service.我们一定要在上师住世期间，以三种承侍使自己的心与上师的智慧无二无别。",经论,普贤上师言教,,P151,The word of my perfect teacher,,,
能修所修相违法,practising at odds with the practice,"There are others who claim to be absorbed in the contemplation of the natural state and look for all kinds of profundities elsewhere, instead of praying with devotion that they may receive in themselves the qualities of freedom and realization of the teacher's wisdom mind. This is known as ""practising at odds with the practice."" 有人说修习实相，然而另辟蹊径去寻找别的高深莫测的大法，既不具备使上师心相续中的断证功德融入自相续的诚信恭敬，也不祈祷，这就是所谓的“能修所修相违法”",经论,普贤上师言教,,P151,The word of my perfect teacher,,,
后患无穷,inconceivable ills.,Looking for flaws in him will only bring you inconceivable ills.如果生起恶分别念，后患无穷,经论,普贤上师言教,,P151,The word of my perfect teacher,,,
摘要； 概括,epitomize,This one question therefore epitomizes all the other points to be checked in a teacher.观察上师的一切要点可以摄于观察具不具备菩提心。,经论,普贤上师言教,,P152,The word of my perfect teacher,,,
出离心,disillusionment with the world,"If he lacks bodhicitta, do not follow him, however excellent his disillusionment with the world, his determination to be free , his assiduous practice and his conduct may at first appear.假使他的自相续中不具有菩提心，即使表面上暂时的出离心，厌离心，专心修法等威仪再怎么善妙，也不可依止",经论,普贤上师言教,,P152,The word of my perfect teacher,,,
冒充内行者；骗子,charlatan,"Meanwhile, charlatans pretending to be saints abound, skilled in the art of deception. 大多数骗子对于装模做样的欺骗方法很高明。",经论,普贤上师言教,,P152,The word of my perfect teacher,,,
多余的；过剩的；不必要的,superfluous,"The greatest of all teachers is the one with whom we are linked from former lives.With him, examination is superfluous.依止自己生生世世有缘的上师非常重要",经论,普贤上师言教,,P152,The word of my perfect teacher,,,
周身汗毛竖立,every hair on our bodies stands on end,"Simply to meet him, simply to hear his voice-or even just his name-can transform everything in an instant and stir such faith that every hair on our bodies stands on end.如果你面见某某上师或听到他的语言，甚至只是听到他的尊名也会周身汗毛竖立",经论,普贤上师言教,,P152,The word of my perfect teacher,,,
表面上地；外表上地,ostensibly,Marpa had come out on the road to look out for him but was ostensibly just ploughing a field.玛尔巴尊者以农夫的形象来迎接他,经论,普贤上师言教,,P152,The word of my perfect teacher,,,
敏锐分别念,restless ordinary thoughts,Nevertheless for an instant all his restless ordinary thoughts ceased and he stood transfixed.所有敏锐分别念当下全部消失得无影无踪，他怔怔地立在那里,经论,普贤上师言教,,P152,The word of my perfect teacher,,,
擦擦,tsa-tsa,The disciple should be like a tsa-tsa from the mould of the teacher。上师的意趣行为怎么样，弟子相续中也需要得到，就像擦擦像从印模中取出来一样。,经论,普贤上师言教,,P153,The word of my perfect teacher,,,
等同于(和 ... 一样),identical with,"Just as the tsa-tsa faithfully reproduces all the patterns engraved on the mould, in the same way the disciple should make sure he or she acquires qualities identical with, or at least very close to, whatever qualities the teacher has. 印模中有什么样图案，全部显现在擦擦像上。同样，上师心相续中有什么样的功德，弟子也要与上师一模一样，即使不能完全相同，也一定要具有基本相同的功德。",经论,普贤上师言教,,P153,The word of my perfect teacher,,,
智慧波罗蜜多法门,Prajnapararnita/transcendent wisdom,"Sadaprarudita was looking for the Prajnapararnita, the teachings on transcendent wisdom.常啼菩萨到处寻觅智慧波罗蜜多法门",经论,普贤上师言教,,P154,The word of my perfect teacher,,,
身体劳累,bodily fatigue,"Go towards the east and you will hear the Prajnaparamita, Go without caring about bodily fatigue, sleep or lethargy, heat or cold, whether by day or by night. Look neither to the right nor to the left.前往东方，将会听到智慧波罗蜜多。不要在意身体劳累，昏沉睡眠，寒冷炎热，白昼黑夜，也不要左顾右盼。",经论,普贤上师言教,,P154,The word of my perfect teacher,,,
五种妙欲,five pleasures of the senses,"Even if you see him enjoying the five pleasures of the senses, realize that Bodhisattvas are skilled in means, and never lose your faith.即使见他享受五种妙欲，也要了知那是菩萨的善巧方便，千万不要失去信心。",经论,普贤上师言教,,P154,The word of my perfect teacher,,,
哀悼；惋惜；悲叹,lament,"Weeping and lamenting, he vowed to ignore fatigue, hunger, thirst and sleep, day or night until he had received the teaching.一边啼哭，一边暗下决心：在没有闻受智慧波罗蜜多法门之前，我决不在意辛劳疲惫，饥渴交迫，昏沉睡眠，白天黑夜等。",经论,普贤上师言教,,P154,The word of my perfect teacher,,,
住处；住所,abode,"In the centre of that city, at the crossroads of four avenues, is the abode of Bodhisattva Dharmodgata.在城市中间，十字中央就是法胜菩萨的宫殿",经论,普贤上师言教,,P154,The word of my perfect teacher,,,
佛陀不退转授记谛实,Buddhas' prediction that I will never return into samsara,"By the blessings of the Buddhas' prediction that I will never return into samsara, by the truth of my supreme and unshakeable determination, and by the truth of my words, may my body resume its former state。以诸佛不退转授记之谛实与我自己坚定不移之殊胜意乐的真实谛以及此等真实语，使我的身体恢复如初。",经论,普贤上师言教,,P156,The word of my perfect teacher,,,
入定,meditative absorption,The sight filled him with the bliss that a monk experiences when immersed in meditative absorption。见此情景，常啼菩萨获得了比丘入定般的安乐。,经论,普贤上师言教,,P156,The word of my perfect teacher,,,
红色旃檀,red sandalwood,"It was made of the seven precious substances, and was decorated with red sandalwood and covered with a filigree of pearls.由七宝组成的宫殿，由红色旃檀严饰，各种珍珠璎珞覆盖",经论,普贤上师言教,,P156,The word of my perfect teacher,,,
黑沉麝香,black aloe-wood incense,In each of the four directions had been placed wish-granting gems as lamps and silver censers from which wafted fragrant offerings of black aloe-wood incense。四方安置四盏如意宝灯，在四个白银香炉中全是黑沉麝香,经论,普贤上师言教,,P156,The word of my perfect teacher,,,
琉璃溶液,lapis lazuli,"At the centre of the temple were four jewelled coffers containing the volumes of the Prajnapararnita, made of gold and written in ink of lapis lazuli.中央的宝匣内放置有用琉璃溶液撰写在金箔上的智慧波罗蜜多",经论,普贤上师言教,,P156,The word of my perfect teacher,,,
六百万禅定法门,six million different states of concentration,"Sadaprarudita experienced six million different states of concentration and had the vision of an infinite number of Buddhas-avision which never again left him, even in his dreams。常啼菩萨获得了六百万禅定法门，亲睹无数佛陀，从此以后在梦中也常常面见如来",经论,普贤上师言教,,P157,The word of my perfect teacher,,,
