中文,英文,摘自,Comments
最上乘法,the Dharma of the Most Superior Vehicle,《六祖坛经》与心理治疗,
三世诸佛,all buddhas of the three periods of time,《六祖坛经》与心理治疗,
外善知识,the external Good Knowing Advisor,《六祖坛经》与心理治疗,
正真般若观照,true Prajna contemplation,《六祖坛经》与心理治疗,
无造作的心,the uncontrived mind,《六祖坛经》与心理治疗,
无念的心体,"the mind of ""no-thought""",《六祖坛经》与心理治疗,
无相无限,boundless and formless,《六祖坛经》与心理治疗,
非空非有,neither empty nor existent,《六祖坛经》与心理治疗,
实有,inherent existence,《六祖坛经》与心理治疗,
接引,instruct,《六祖坛经》与心理治疗,
说法,"expound the Dharma
preach the Dharma","《六祖坛经》与心理治疗
向观音菩萨学修行",
化身,incarnation,《六祖坛经》与心理治疗,
修道,cultivate the Way,《六祖坛经》与心理治疗,
保任,maintain enlightenment,《六祖坛经》与心理治疗,
四无量心,The Four Immmeasurables,四无量心的观修,
三乘佛法,the Three Vehicles,四无量心的观修,
慈无量,Immeasurable loving-kindness,四无量心的观修,
悲无量,Immeasurable Compassion,四无量心的观修,
喜无量,Immeasurable Joy,四无量心的观修,
舍无量,Immeasurable Equanimity,四无量心的观修,
舍,Equanimity,四无量心的观修,
大乘菩萨道,the Mahayana Bodhisattva Path,四无量心的观修,
生天之福,the blessings of future rebirth in the heavens,四无量心的观修,
四梵住,the Four Brahmaviharas,四无量心的观修,
大梵天,the Great Brahma,四无量心的观修,
神格,deity,四无量心的观修,
具足,perfect,四无量心的观修,
梵天,the Brahma heaven,四无量心的观修,
声闻解脱道,the Sravaka path to liberation,四无量心的观修,
结,entanglement,四无量心的观修,
怨,resentment,四无量心的观修,
恚,anger,四无量心的观修,
诤,dispute,四无量心的观修,
大果,great results,四无量心的观修,
大福利,great benefits,四无量心的观修,
修念觉分,cultivate the awakening factors of mindfulness,四无量心的观修,
欲,desire,四无量心的观修,
修舍觉分,cultivate the awakening factors of equanimity,四无量心的观修,
七支因果/七因果,the Seven-Point Cause-and-Effect,四无量心的观修,
知母,"recognize all sentient beings as our past mother
recognize all beings as our mothers in past lives","四无量心的观修
以茶入禅",
念恩,"remember mothers' kindness
appreciate mothers' kindness","四无量心的观修
以茶入禅",
报恩,repay mothers' kindness,四无量心的观修,
慈心,loving-kindness,以茶入禅,
悲心,compassion,以茶入禅,
增上意乐,extraordinary aspiration,四无量心的观修,
平等舍心,the mind of equanimity,四无量心的观修,
招感快乐,attract fruit of happiness,四无量心的观修,
止息嗔心,eradicate aversion,四无量心的观修,
安乐因,causes of happiness,四无量心的观修,
现前乐,temporary happiness,四无量心的观修,
究竟乐,ultimate happiness,四无量心的观修,
证悟涅槃,relize nirvana,四无量心的观修,
无苦之乐,bliss free from suffering/happiness free from suffering,四无量心的观修,
调柔内心,soften one's heart,四无量心的观修,
凡夫串习,mundane habits,四无量心的观修,
世间利益,worldly benefits,四无量心的观修,
究竟利益,ultimate benefits,四无量心的观修,
破除我执,break free from self-attachment,四无量心的观修,
空性见禅修,the meditation of emptiness,四无量心的观修,
慈经的观修,contemplation in the Metta Sutta,四无量心的观修,
纯大苦集,the gathering of great suffering,四无量心的观修,
圣者,noble ones,四无量心的观修,
非圣者,worldings,四无量心的观修,
苦道,the realms of suffering,四无量心的观修,
观修,contemplative practice,四无量心的观修,
观修仪规,contemplative practice ritual,四无量心的观修,
自他相换,exchange self and others,四无量心的观修,
无尽轮回,the endless cycle of rebirth,四无量心的观修,
流转,in the flow of ,四无量心的观修,
曾经的亲缘,the past bonds of kinship,四无量心的观修,
无始以来,from countless past lives / since beginningless time,四无量心的观修,
养育之恩,the nurturing kindness,四无量心的观修,
念恩生敬,remember one's kindness with respect,四无量心的观修,
众苦,suffering,四无量心的观修,
众苦因,the causes of suffering,四无量心的观修,
染污的,tainted,四无量心的观修,
三苦,Three Types of Suffering,四无量心的观修,
八苦,"Eightfold Suffering
Eight Types of Suffering","四无量心的观修
生命的痛苦及其解脱",
苦苦,Suffering of Suffering,四无量心的观修,
坏苦,Suffering of Change,四无量心的观修,
行苦,All-pervasive Suffering,四无量心的观修,
生苦,Suffering of Birth,四无量心的观修,
老苦,Suffering of aging,四无量心的观修,
病苦,Suffering of Sickness,四无量心的观修,
死苦,Suffering of Death,四无量心的观修,
爱别离苦,Suffering of Separation from loved ones,四无量心的观修,
怨憎会苦,Suffering of Encountering the Unpleasant,四无量心的观修,
求不得苦,Suffering of not Getting What One Wants,四无量心的观修,
五蕴炽盛苦,Suffering of the Five Aggregates,四无量心的观修,
十方三世,"in all ten directions and the three times(past, present, and future)",四无量心的观修,
乐果,pleasant results,四无量心的观修,
贪著的欢喜,joy tainted with greed,四无量心的观修,
不乐,dislike /displeasure,四无量心的观修,
有苦之乐,happiness with suffering,四无量心的观修,
涅槃乐,the bliss of nirvana,四无量心的观修,
欢喜心,joyful mind,四无量心的观修,
随喜功德的修行,practice of rejoicing in the merits of others,四无量心的观修,
诸佛如来,all the Buddhas and Tathagatas,四无量心的观修,
佛刹/佛土,Buddha lands,四无量心的观修,
六趣四生,the six realms and four kinds of birth,四无量心的观修,
辟支佛/缘觉,Pratyekabuddhas,四无量心的观修,
无上正等菩提,supreme enjlightment,四无量心的观修,
无量功德,immeasurable  merits,四无量心的观修,
成佛资粮,merits of enlightenment,四无量心的观修,
顺缘,favorable conditions,四无量心的观修,
出离,break free from,四无量心的观修,
无二无别的,equal and impartial,四无量心的观修,
如如不动,unwavering calmness,四无量心的观修,
爱取有,"craving, grasping, and becoming",四无量心的观修,
生命流转,the cycle of life,四无量心的观修,
世间善法,worldly virtue,四无量心的观修,
所加持,be blessed by ,四无量心的观修,
西园寺,"Suzhou West Garden Monastery of Vinaya School / 
Suzhou West Garden Monastery",,
断舍离,decluttering,从佛法视角谈“断舍离”,
觉醒的,Enlightened,从佛法视角谈“断舍离”,
生活美学,lifestyle aesthetics,从佛法视角谈“断舍离”,
禅意空间,Chan-inspired spaces,从佛法视角谈“断舍离”,
静心慢生活,slow-paced lifestyle,从佛法视角谈“断舍离”,
简约、有序的生活,simplistic and orderly lifestyle,从佛法视角谈“断舍离”,
自我的贪著,self-attachments,从佛法视角谈“断舍离”,
世界的贪著,world-attachments,从佛法视角谈“断舍离”,
布施之心,Generous Spirit,从佛法视角谈“断舍离”,
修习戒定慧,"Cultivating Precepts, Concentration and Wisdom",从佛法视角谈“断舍离”,
轮回,samsara,从佛法视角谈“断舍离”,
束缚,shackle,从佛法视角谈“断舍离”,
禁欲,asceticism,从佛法视角谈“断舍离”,
苦行,austerity,从佛法视角谈“断舍离”,
四依,Four Reliances,从佛法视角谈“断舍离”,
头陀行,Dhutanga practice,从佛法视角谈“断舍离”,
佛典,Buddhist scriptures,从佛法视角谈“断舍离”,
亲近善知识,associating with good teachers,从佛法视角谈“断舍离”,
四法行,Four Dharma Practices,从佛法视角谈“断舍离”,
三成法,Three Means of Accomplishment,从佛法视角谈“断舍离”,
学佛者,practitioners of Buddhism,从佛法视角谈“断舍离”,
"忆念人身的
暇满、义大、难得","reflect on human life’s preciousness, significance, and rarity",从佛法视角谈“断舍离”,
身口意,"body, speech, and thoughts",从佛法视角谈“断舍离”,
假相,illusory,从佛法视角谈“断舍离”,
暇满人身,the precious human existence,从佛法视角谈“断舍离”,
远离颠倒妄想,steer clear of misguided fantasies,从佛法视角谈“断舍离”,
摆脱放逸串习,break free from indulgent habits,从佛法视角谈“断舍离”,
内在贪著,inner attachments,从佛法视角谈“断舍离”,
自足的,self-sufficient,从佛法视角谈“断舍离”,
转依,transforming reliance,从佛法视角谈“断舍离”,
无始以来,innumerable lifetimes,从佛法视角谈“断舍离”,
世间的智者,worldly sages,从佛法视角谈“断舍离”,
戒定慧的修行,"disciplined practice of precepts, concentration, and wisdom",从佛法视角谈“断舍离”,
布施的意义,the value of giving,从佛法视角谈“断舍离”,
"布施、持戒、忍辱、
精进、禅定、般若","generosity,ethical discipline, endurance, diligence, meditative concentration, and wisdom",从佛法视角谈“断舍离”,
爱语、利行、同事,"kind speech, beneficial actions, and collaborative work",从佛法视角谈“断舍离”,
破除悭贪,break down the barriers of greed ,从佛法视角谈“断舍离”,
积累资粮,accumulate spiritual resources,从佛法视角谈“断舍离”,
广结善缘,create positive connections with others,从佛法视角谈“断舍离”,
法布施,sharing Dharma,从佛法视角谈“断舍离”,
无畏布施,offering protection or courage,从佛法视角谈“断舍离”,
修习慈悲心,cultivating compassion,从佛法视角谈“断舍离”,
以自我为轴心,center around the concept of self,从佛法视角谈“断舍离”,
条件关系的假相,conditional and illusory associations,从佛法视角谈“断舍离”,
烦恼之根,root of our afflictions,从佛法视角谈“断舍离”,
奉行中道，取舍有度,embrace the middle way and make decisions with moderation,从佛法视角谈“断舍离”,
儒家,Confucianism,从佛法视角谈“断舍离”,
戒,precepts,从佛法视角谈“断舍离”,
居士五戒,five precepts for lay followers,从佛法视角谈“断舍离”,
婆罗门教,Brahmanism,从佛法视角谈“断舍离”,
梵行期,Brahmacharya,从佛法视角谈“断舍离”,
家居期,Grihastha,从佛法视角谈“断舍离”,
林栖期,Vanaprastha,从佛法视角谈“断舍离”,
遁世期,Sannyasa,从佛法视角谈“断舍离”,
隐士,hermits,从佛法视角谈“断舍离”,
寂天菩萨,Bodhisattva Shantideva,从佛法视角谈“断舍离”,
阿底峡尊者,Atisha,从佛法视角谈“断舍离”,
内修外弘,internal cultivation and external propagation of the Dharma,从佛法视角谈“断舍离”,
断恶修善,renounce evil and practice virtue,从佛法视角谈“断舍离”,
六和敬,the Six Principles of Harmony,从佛法视角谈“断舍离”,
健康生活五大信念,the Five Wonderful Mindfulness Training,从佛法视角谈“断舍离”,
转迷为悟,transform delusion into enlightenment,人生五大问题,
XX的加持力,the blessings of ,人生五大问题,
三学,"the Threefold Training (Precepts, Meditation, and Wisdom)",人生五大问题,
五蕴身,the five-aggregate body,人生五大问题,
天、人、阿修罗、畜生、饿鬼、地狱六道,"heavenly beings, human beings, asuras, animals, humgry, ghosts, and hell beings",人生五大问题,
心灵因果,the causality of the mind,人生五大问题,
当下因果,the causality of the present moment,人生五大问题,
三世因果,the causality of the three lifetimes,人生五大问题,
人天善因,wholesome causes for humand and heavenly realms,人生五大问题,
因，缘，因果,"causes, conditions and causality",佛法在家庭教育中的运用,
业缘,karmic tie,佛法在家庭教育中的运用,
报怨,seek revenge,佛法在家庭教育中的运用,
增上善缘,reinforce past wholesome karma,佛法在家庭教育中的运用,
善知识,"enlightened teachers
good knowing advisor","佛法在家庭教育中的运用
《六祖坛经》与心理治疗",
道统,culture inheritance,佛法在家庭教育中的运用,
道德教化,moral education,佛法在家庭教育中的运用,
三不朽,three great accomplishments,佛法在家庭教育中的运用,
立德,set a moral example,佛法在家庭教育中的运用,
立功,perform great deeds,佛法在家庭教育中的运用,
立言,advocate noble ideas,佛法在家庭教育中的运用,
立心,set spiritual values,佛法在家庭教育中的运用,
立命,set life purpose,佛法在家庭教育中的运用,
立志,set an aspiration,佛法在家庭教育中的运用,
正心,rectify the mind,佛法在家庭教育中的运用,
诚意,sincerity,佛法在家庭教育中的运用,
修身,self-cultivation,佛法在家庭教育中的运用,
齐家,family regulation,佛法在家庭教育中的运用,
治国,governe the contry,佛法在家庭教育中的运用,
平天下,achieve world peace,佛法在家庭教育中的运用,
每日定课,daily practice,佛法在家庭教育中的运用,
四弘誓愿,the Four Great Vows,佛法在家庭教育中的运用,
阿弥陀佛四十八大愿,the Forty-Eight Great Vows of Amitabha Buddha,佛法在家庭教育中的运用,
药师如来十二大愿,the Twelve Great Vows of the Medicine Buddha,佛法在家庭教育中的运用,
惜福,"virtue of frugality
value resources
cherish blessings","佛法在家庭教育中的运用
佛法在家庭教育中的运用
茶与禅的修行",
仁义礼智信,"benevolence, righteousness, ritual propriety, wisdom, trustworthiness",佛法在家庭教育中的运用,
温良恭俭让,"gentleness, kindness, respectfulness, frugality and forbearance",佛法在家庭教育中的运用,
随喜心,rejoice in others'virtues,佛法在家庭教育中的运用,
观照内心,observe the mind,凡圣只在迷悟间,
调整心行,adjust the mental actions,凡圣只在迷悟间,
随业流转,drift along the flow of Karma,凡圣只在迷悟间,
真心,the true mind,凡圣只在迷悟间,
妄心,the deluded mind,凡圣只在迷悟间,
八识,the eight consciousnesses,凡圣只在迷悟间,
转染成净,convert defilements into purity,凡圣只在迷悟间,
转识成智,convert consciousness into wisdom,凡圣只在迷悟间,
业障,karmic obstacle,凡圣只在迷悟间,
自性,original nature /inherent nature,凡圣只在迷悟间,
起心动念,mental activities /thoughts and intentions,凡圣只在迷悟间,
因缘和合,the convergence of causes and conditions,凡圣只在迷悟间,
唯识经论,Yogacara teachings,凡圣只在迷悟间,
生命形态,the life state,凡圣只在迷悟间,
佛随念,The Recollection of the Buddha Mediation,凡圣只在迷悟间,
慈心禅,Loving-Kindness Meditation,凡圣只在迷悟间,
世间俗务,worldly matters,凡圣只在迷悟间,
中国禅茶,Chinese Chan Tea,煮茶观心,
日本茶道,Japanese Tea Ceremony,煮茶观心,
九住心,the nine stages of samatha meditation,煮茶观心,
三藏十二部典籍,the Tripitaka and the twelve divisions of Buddhist texts,煮茶观心,
宗门和教下,Chan Buddhism and other Buddhist teachings,煮茶观心,
机锋棒喝,sharp retorts and forceful actions,煮茶观心,
临济喝,"shouts of Linji, the Linji shout",煮茶观心,
观机逗教,instant responses to students’ faculties,煮茶观心,
至高至顿的见地,the highest and most immediate insight,煮茶观心,
明眼宗师,an enlightened master,煮茶观心,
上根利智,sharp faculty and keen wisdom,煮茶观心,
心灵尘垢厚重,a mind heavily burdened with impurities,煮茶观心,
心灵尘垢极薄,a mind with minimal impurities,煮茶观心,
五祖,the Fifth Patriarch,煮茶观心,
六祖,the Sixth Patriarch,煮茶观心,
直了成佛,realize Buddhahood directly,煮茶观心,
鹿野苑,at Deer Park,煮茶观心,
初转法轮,give his first teaching,煮茶观心,
佛陀拈花,Buddha’s Flower-Sermon,煮茶观心,
达摩东渡,Bodhidharma’s Journey to the East,煮茶观心,
灵山会上,during the assembly on Vulture Peak,煮茶观心,
世尊,the World-Honored One,煮茶观心,
迦叶尊者,the venerable Mahakashyapa,煮茶观心,
破颜微笑,break into a smile,煮茶观心,
禅宗心印,the mind-to-mind seal in Chan Buddhism,煮茶观心,
外在事业,worldly endeavors,煮茶观心,
不着相,be free from attachment to forms,煮茶观心,
有我相、人相、众生相、寿者相,"attach to the forms of self, others, sentient beings, and longevity",煮茶观心,
廓然无圣,"Vast emptiness, no sages!",煮茶观心,
断灭的空和无,a nihilistic void or mere nothingness,煮茶观心,
面壁,"meditate in seclusion, facing a wall",煮茶观心,
断臂求法,Severed the Arm to Seek the Dharma,煮茶观心,
安心之道,the path to inner peace,煮茶观心,
内在的观照力,an innate ability of observation,煮茶观心,
初祖达摩,the First Patriarch Bodhidharma,煮茶观心,
二祖慧可,the Second Patriarch Huike,煮茶观心,
三祖僧璨,the Third Patriarch Sengcan,煮茶观心,
一花开五叶,One Flower Blooms with Five Petals,煮茶观心,
沩仰宗,the Weiyang School,煮茶观心,
临济宗,the Linji School ,煮茶观心,
曹洞宗,the Caodong School ,煮茶观心,
云门宗,the Yunmen School,煮茶观心,
法眼宗,the Fayan School,煮茶观心,
杨歧派,Yangqi branch,煮茶观心,
黄龙派,Huanglong branch,煮茶观心,
五家七宗,"Five Schools, Seven Branches",煮茶观心,
德山棒,"the Deshan stick
stick blows of Deshan","煮茶观心
煮茶观心",
云门饼,the Yunmen cake,煮茶观心,
赵州茶,the Zhaozhou tea,煮茶观心,
能所二元,the duality of subject and object,煮茶观心,
体认不二的心,realize the non-dual mind,煮茶观心,
影像,mental image,煮茶观心,
认知模式,cognitive pattern,煮茶观心,
讲寺,teaching monastery,煮茶观心,
讲经说法,teach sutras and deliver Dharma talks,煮茶观心,
净宗寺院,Pure Land monastery,煮茶观心,
念佛求往生,chant the Amitabha Buddha’s name to seek rebirth in the Pure Land,煮茶观心,
律宗道场,Vinaya monastery,煮茶观心,
学人/大众,learner,煮茶观心,
机锋论辩,exchanges of incisive Chan wisdom,煮茶观心,
托钵乞食,alms-begging for food,煮茶观心,
禅宗的丛林制度,the monastic system of Chan Buddhism,煮茶观心,
农禅并重,integrating farming with Chan practice,煮茶观心,
四大班首,four head monastics,煮茶观心,
班首,the chief monastic,煮茶观心,
首座、西堂、后堂、堂主,"the Chief Seat Monastic, the West Hall Monastic, the Rear Hall Monastic, and the Hall Chief Monastic",煮茶观心,
八大执事,the Eight Officers,煮茶观心,
客堂,Guest Hall,煮茶观心,
库房,Storerooms,煮茶观心,
净头,the Cleaning Head,煮茶观心,
库头,the Storage Head,煮茶观心,
菜头,the Vegetable Head,煮茶观心,
茶头,the Tea Head,煮茶观心,
普请出坡,universal labor,煮茶观心,
出坡,outdoor labor,煮茶观心,
认识并契入本心,understand and connect with one's true mind,煮茶观心,
禅法,"Chan’s methods
Chan teachings","煮茶观心
煮茶观心",
入禅,enter Chan,煮茶观心,
用心,"use one's minds
engage the mind
a way of being mindful","煮茶观心
煮茶观心
茶与禅的修行",
禅堂打七,a seven-day meditation retreat,煮茶观心,
重要助缘,an important support,煮茶观心,
陈年老茶,aged teas,煮茶观心,
通畅气脉,enhance energy flow,煮茶观心,
侍者,attendant,煮茶观心,
寺院普请喝茶时,during communal tea breaks,煮茶观心,
茶空间,tea spaces,煮茶观心,
茶礼,tea etiquette,煮茶观心,
禅林,monasteries,煮茶观心,
侘茶,Wabi Tea,煮茶观心,
禅诗,Chan-inspired poetry,煮茶观心,
俳句,haiku,煮茶观心,
茶服,tea attire,煮茶观心,
安顿身心,"bring peace to the body and mind, settle the body and mind",煮茶观心,
仪式感很足,enriched with a strong sense of ceremony,煮茶观心,
感恩行礼,Greeting,煮茶观心,
静心备器,Preparing the Tea Set,煮茶观心,
煮水听茗,Listening to the Boiling Water and Observing the Mind,煮茶观心,
温器传香,Warming the Tea Set and Passing Around the Fragrance,煮茶观心,
泡茶醒心,Making Tea and Awakening the Mind,煮茶观心,
平等分茶,Distributing Tea Evenly,煮茶观心,
吃茶,Drinking Tea,煮茶观心,
静茶七式,the Seven Steps of Mindful Tea,煮茶观心,
静场七事,the Seven Steps to Mindful Space,煮茶观心,to要跟静茶七式一样改为of吗？
本来空,Original Emptiness,煮茶观心,
收摄身心,settle one's body and mind,煮茶观心,
善巧的设置,thoughtful arrangements,煮茶观心,
前行,"preparation
preparatory practice/preliminary practice","煮茶观心
八步骤三种禅修",
备器,arrange the utensils,煮茶观心,
起炭,ignite the charcoal,煮茶观心,
布席,arrange the mats,煮茶观心,
学无为,practice emptiness meditation,煮茶观心,
安心茶室,Dhyana Tea Space,煮茶观心,
佛堂,a Buddha hall,煮茶观心,
有了佛法智慧的统摄,with Buddhist wisdom as a guiding framework,煮茶观心,
以茶入禅,enter Chan through tea,以茶入禅,
回归本心,return to the original mind,以茶入禅,
开示,"Dharma Talk
guidance","以茶入禅
《六祖坛经》与心理治疗",
月光茶会,the moonlight tea ceremony,以茶入禅,
禅修,Chan meditation,以茶入禅,
明心见性的修行,a practice of realizing our true nature,以茶入禅,
茶道(茶文化),tea culture,以茶入禅,
茶禅一味,Tea and Chan share the same taste.,以茶入禅,
吃茶去,Go drink tea.,以茶入禅,
内心的了了明知,a clear and lucid awareness within,以茶入禅,
五欲:财色名食睡,"the five desires: wealth, sensuality, fame, food, and sleep",以茶入禅,
莫向外求,Do not seek outside yourself.,以茶入禅,
法身佛,"Dharmakaya, the truth body",以茶入禅,
报身佛,"Sambhogakaya, the enjoyment body",以茶入禅,
化身佛,"Nirmanakaya, the manifested body",以茶入禅,
一超直入如来地,directly attain the state of Buddhahood,以茶入禅,
刚强难调,too obstinate to be easily subdued,以茶入禅,
集资净障,accumulate merits and clear obstacles,以茶入禅,
契入点,an accessible and meaningful entry point,以茶入禅,
借助善巧方便,make wise use of skillful means,以茶入禅,
观慧,wisdom of contemplation,以茶入禅,
善用其心,engage the mind wisely,以茶入禅,
借假修真,use the tempory to cultivate the eternal,工作坊15,
上报四重恩,repaying the Four Great Kindnesses,以茶入禅,
"父母恩、师长恩、
国家恩、众生恩","the kindness of parents, teachers, the nation, and all beings",以茶入禅,
空灵的,serene,以茶入禅,
如法有序的生活,a well-ordered life in accordance with the Buddhist teachings,以茶入禅,
尘劳妄想,worldly entanglements and delusions,以茶入禅,
一即一切,One is All.,以茶入禅,
"本来具足的心
本自具足的心",the inherently self-sufficient mind,以茶入禅,
四处攀缘,cling to external distractions,以茶入禅,
用心习惯,the habits of engaging the mind,以茶入禅,
随缘,adapt to conditions,以茶入禅,
原本具足的清净心,the inherent pure mind,以茶入禅,
全然开放的心,a fully open mind,以茶入禅,
开启生命内在的清明,awaken our inner clarity of life,以茶入禅,
修心,cultivate the mind,以茶入禅,
心无所住,abid in nothing,以茶入禅,
遍知,all-encompassing,以茶入禅,
物来影现,effortlessly reflect whatever comes and goes,以茶入禅,
清净圆满,pure and complete,以茶入禅,
具足万法,perfectly encompassing all phenomena,以茶入禅,
亘古亘今,span through past and future,以茶入禅,
一念万年,a single thought encompassing eternity,以茶入禅,
语默动静,"speaking, silence, movement and stillness",以茶入禅,
禅茶会,the Chan tea ceremony,以茶入禅,
回归本心,return to the original mind,以茶入禅,
心月,the true mind,以茶入禅,
安住当下,settle in the present moment,以茶入禅,
歇即菩提,Subduing the deluded mind Is realizing the Bodhi.,以茶入禅,
专注力,concentration,以茶入禅,
觉察力,awareness,以茶入禅,
明（空性的特征）,clarity,以茶入禅,
不迎不拒,neither welcoming nor resisting,以茶入禅,
不贪不嗔,neither craving nor rejecting,以茶入禅,
不取不舍,neither clinging nor discarding,以茶入禅,
末法时代,the Degenerate Age of Dharma,传承国学,
佛儒兼修,one who embraced both Confucian and Buddhist paths,传承国学,
话头,huatou—a contemplative question,传承国学,
生活禅,everyday Chan,传承国学,
禅茶一味,Chan and tea in unity,传承国学,
正确的用心方式,a proper way of engaging the mind,传承国学,
静修,solitary practice,行到水穷处,
人生佛教,Buddhism of Human Life,行到水穷处,
契理契机,align with both the teachings and the mental faculties of the people,行到水穷处,
人间佛教,Humanistic Buddhism,行到水穷处,
五大要素,five essential elements,行到水穷处,
五十一种心所,fifty-one mental factors,行到水穷处,
根本烦恼,fundamental affliction,行到水穷处,
随烦恼,secondary affliction,行到水穷处,
别境心所,Situation-specific Mental Factor,行到水穷处,
善心所,Wholesome Mental Factor,行到水穷处,
正法,the Age of the True Dharma,行到水穷处,
像法,the Age of the Semblance Dharma,行到水穷处,
末法,the Age of the Degenerate Dharma,行到水穷处,
无生法忍,the forbearance of the non-arising dharmas,行到水穷处,
有为法,the conditioned dharmas,行到水穷处,
一念圆成,One Thought Perfectly Accomplished,行到水穷处,
因上努力，果上随缘,Put effort into the causes and let the result take its course.,行到水穷处,
